Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20:00,Credit card,66.4,4761904762,3.32,4.4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15:00,Ewallet,172.8,4761904762,8.64,9.9
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,132945.0,2791845.0,2019-02-03 00:00:00,17:36:00,Ewallet,265.89,4761904762,132945.0,6.0
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21036.0,441756.0,3/22/2019,19:20:00,Credit card,420.72,4761904762,21036.0,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1676.0,35196.0,2019-08-02 00:00:00,15:31:00,Cash,33.52,4761904762,1676.0,6.7
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8767.0,184107.0,2019-10-03 00:00:00,12:17:00,Credit card,175.34,4761904762,8767.0,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,19:48:00,Cash,441.8,4761904762,22.09,9.6
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,112005.0,2352105.0,3/15/2019,15:36:00,Cash,224.01,4761904762,112005.0,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,235325.0,4941825.0,2/25/2019,19:39:00,Credit card,470.65,4761904762,235325.0,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,351315.0,7377615.0,1/28/2019,12:43:00,Cash,702.63,4761904762,351315.0,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33512.0,703752.0,2019-10-01 00:00:00,14:49:00,Cash,670.24,4761904762,33512.0,5.1
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9658.0,202818.0,3/15/2019,10:12:00,Credit card,193.16,4761904762,9658.0,5.1
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19884.0,417564.0,2019-06-02 00:00:00,10:42:00,Ewallet,397.68,4761904762,19884.0,7.5
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3406.0,71526.0,2019-07-01 00:00:00,12:28:00,Ewallet,68.12,4761904762,3406.0,6.8
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15655.0,328755.0,2019-10-03 00:00:00,19:15:00,Ewallet,313.1,4761904762,15655.0,7.0
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27396.0,575316.0,1/15/2019,17:17:00,Ewallet,547.92,4761904762,27396.0,4.7
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21968.0,461328.0,3/23/2019,13:24:00,Ewallet,439.36,4761904762,21968.0,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12048.0,253008.0,2019-03-03 00:00:00,13:01:00,Cash,240.96,4761904762,12048.0,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4336.0,91056.0,1/17/2019,18:45:00,Ewallet,86.72,4761904762,4336.0,7.9
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5611.0,117831.0,2019-02-02 00:00:00,10:11:00,Cash,112.22,4761904762,5611.0,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20736.0,435456.0,2019-08-02 00:00:00,13:03:00,Cash,414.72,4761904762,20736.0,5.6
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2019-04-03 00:00:00,20:39:00,Cash,789.6,4761904762,39.48,7.6
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1537.0,32277.0,3/16/2019,19:47:00,Cash,30.74,4761904762,1537.0,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18792.0,394632.0,2019-09-03 00:00:00,18:00:00,Cash,375.84,4761904762,18792.0,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,255105.0,5357205.0,2/27/2019,17:24:00,Credit card,510.21,4761904762,255105.0,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,90045.0,1890945.0,2019-06-02 00:00:00,15:47:00,Ewallet,180.09,4761904762,90045.0,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5679.0,119259.0,2019-10-02 00:00:00,12:45:00,Credit card,113.58,4761904762,5679.0,8.1
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41315.0,867615.0,3/19/2019,17:08:00,Ewallet,826.3,4761904762,41315.0,7.9
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2019-03-02 00:00:00,10:19:00,Cash,639.8,4761904762,31.99,9.5
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,111475.0,2340975.0,2019-10-02 00:00:00,15:10:00,Cash,222.95,4761904762,111475.0,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3574.0,75054.0,3/22/2019,14:42:00,Ewallet,71.48,4761904762,3574.0,6.5
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,162015.0,1/25/2019,15:46:00,Credit card,15.43,4761904762,0.7715,6.1
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1616.0,33936.0,2019-07-03 00:00:00,11:49:00,Ewallet,32.32,4761904762,1616.0,6.5
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34392.0,722232.0,2/28/2019,19:01:00,Cash,687.84,4761904762,34392.0,8.2
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4434.0,93114.0,3/27/2019,11:26:00,Cash,88.68,4761904762,4434.0,5.8
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2019-07-02 00:00:00,11:28:00,Ewallet,716.8,4761904762,35.84,6.6
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36175.0,759675.0,1/20/2019,15:55:00,Cash,723.5,4761904762,36175.0,5.4
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9183.0,192843.0,2019-12-03 00:00:00,20:36:00,Cash,183.66,4761904762,9183.0,9.3
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3711.0,77931.0,2/15/2019,17:47:00,Credit card,74.22,4761904762,3711.0,10.0
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16719.0,351099.0,2/24/2019,10:55:00,Ewallet,334.38,4761904762,16719.0,7.0
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,247815.0,5204115.0,2019-03-02 00:00:00,13:40:00,Ewallet,495.63,4761904762,247815.0,10.0
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7905.0,166005.0,2019-06-03 00:00:00,12:27:00,Credit card,158.1,4761904762,7905.0,8.6
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15148.0,318108.0,2/14/2019,14:35:00,Cash,302.96,4761904762,15148.0,7.6
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7935.0,166635.0,3/13/2019,16:40:00,Cash,158.7,4761904762,7935.0,5.8
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3347.0,70287.0,2019-10-02 00:00:00,15:43:00,Ewallet,66.94,4761904762,3347.0,6.7
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29283.0,614943.0,2019-07-01 00:00:00,15:01:00,Ewallet,585.66,4761904762,29283.0,9.9
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39385.0,827085.0,1/24/2019,10:04:00,Cash,787.7,4761904762,39385.0,6.4
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,192465.0,2019-02-02 00:00:00,18:50:00,Cash,18.33,4761904762,0.9165,4.3
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2019-06-01 00:00:00,12:46:00,Credit card,894.8,4761904762,44.74,9.6
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2019-11-02 00:00:00,16:19:00,Cash,621.2,4761904762,31.06,5.9
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7278.0,152838.0,2019-05-03 00:00:00,18:17:00,Ewallet,145.56,4761904762,7278.0,4.0
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22773.0,478233.0,2019-09-03 00:00:00,18:21:00,Cash,455.46,4761904762,22773.0,8.7
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,336015.0,7056315.0,1/22/2019,10:55:00,Ewallet,672.03,4761904762,336015.0,9.4
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20825.0,437325.0,1/13/2019,17:04:00,Credit card,416.5,4761904762,20825.0,5.4
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22068.0,463428.0,2019-09-01 00:00:00,14:20:00,Credit card,441.36,4761904762,22068.0,8.6
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,90045.0,1890945.0,2019-12-01 00:00:00,15:48:00,Credit card,180.09,4761904762,90045.0,5.7
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39155.0,822255.0,2019-05-03 00:00:00,16:24:00,Ewallet,783.1,4761904762,39155.0,6.6
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5095.0,106995.0,1/22/2019,18:56:00,Cash,101.9,4761904762,5095.0,6.0
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29757.0,624897.0,1/21/2019,14:42:00,Credit card,595.14,4761904762,29757.0,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14502.0,304542.0,1/26/2019,19:56:00,Ewallet,290.04,4761904762,14502.0,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,1/23/2019,18:37:00,Ewallet,154.0,4761904762,7.7,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16072.0,337512.0,2/23/2019,18:45:00,Credit card,321.44,4761904762,16072.0,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,122275.0,2567775.0,2019-09-03 00:00:00,10:17:00,Cash,244.55,4761904762,122275.0,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29071.0,610491.0,2019-05-03 00:00:00,14:31:00,Ewallet,581.42,4761904762,29071.0,4.0
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,10:23:00,Cash,382.6,4761904762,19.13,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17283.0,362943.0,3/27/2019,20:35:00,Credit card,345.66,4761904762,17283.0,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,21235.0,445935.0,2019-02-01 00:00:00,16:57:00,Cash,42.47,4761904762,21235.0,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23097.0,485037.0,2/27/2019,17:55:00,Cash,461.94,4761904762,23097.0,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9476.0,198996.0,1/23/2019,10:25:00,Cash,189.52,4761904762,9476.0,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019,19:54:00,Ewallet,448.6,4761904762,22.43,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7693.0,161553.0,2019-10-01 00:00:00,16:42:00,Ewallet,153.86,4761904762,7693.0,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28962.0,608202.0,2019-12-03 00:00:00,12:09:00,Credit card,579.24,4761904762,28962.0,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,44875.0,942375.0,2019-06-02 00:00:00,20:05:00,Credit card,89.75,4761904762,44875.0,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4858.0,102018.0,2019-08-03 00:00:00,20:38:00,Ewallet,97.16,4761904762,4858.0,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43935.0,922635.0,3/29/2019,10:25:00,Ewallet,878.7,4761904762,43935.0,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3735.0,78435.0,2019-09-02 00:00:00,13:11:00,Cash,74.7,4761904762,3735.0,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,79125.0,1661625.0,3/23/2019,10:16:00,Ewallet,158.25,4761904762,79125.0,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2019-05-03 00:00:00,18:14:00,Cash,496.2,4761904762,24.81,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,24355.0,511455.0,3/26/2019,19:20:00,Cash,48.71,4761904762,24355.0,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,353475.0,7422975.0,2019-01-03 00:00:00,13:22:00,Cash,706.95,4761904762,353475.0,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,103815.0,2180115.0,2019-01-02 00:00:00,11:27:00,Cash,207.63,4761904762,103815.0,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17478.0,367038.0,3/28/2019,16:44:00,Cash,349.56,4761904762,17478.0,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,106225.0,2230725.0,3/19/2019,18:19:00,Cash,212.45,4761904762,106225.0,8.0
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44335.0,931035.0,2019-12-01 00:00:00,14:50:00,Ewallet,886.7,4761904762,44335.0,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8214.0,172494.0,2019-05-01 00:00:00,20:54:00,Credit card,164.28,4761904762,8214.0,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18639.0,391419.0,3/22/2019,20:19:00,Cash,372.78,4761904762,18639.0,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15291.0,321111.0,3/24/2019,10:43:00,Cash,305.82,4761904762,15291.0,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40985.0,860685.0,2019-03-03 00:00:00,14:30:00,Cash,819.7,4761904762,40985.0,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1649.0,34629.0,2019-05-02 00:00:00,11:32:00,Ewallet,32.98,4761904762,1649.0,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,147315.0,3093615.0,2019-05-02 00:00:00,10:41:00,Credit card,294.63,4761904762,147315.0,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25494.0,535374.0,2/15/2019,12:44:00,Cash,509.88,4761904762,25494.0,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,261315.0,5487615.0,1/19/2019,20:07:00,Ewallet,522.63,4761904762,261315.0,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,363555.0,7634655.0,2019-01-02 00:00:00,20:31:00,Credit card,727.11,4761904762,363555.0,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4053.0,85113.0,2019-02-03 00:00:00,13:01:00,Credit card,81.06,4761904762,4053.0,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5485.0,115185.0,2019-05-03 00:00:00,12:29:00,Ewallet,109.7,4761904762,5485.0,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2568.0,53928.0,1/16/2019,15:26:00,Ewallet,51.36,4761904762,2568.0,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2019-02-02 00:00:00,20:48:00,Ewallet,109.6,4761904762,5.48,6.0
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5344.0,112224.0,1/20/2019,20:38:00,Ewallet,106.88,4761904762,5344.0,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39824.0,836304.0,2/14/2019,17:03:00,Credit card,796.48,4761904762,39824.0,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19992.0,419832.0,2019-12-01 00:00:00,12:02:00,Credit card,399.84,4761904762,19992.0,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44982.0,944622.0,2019-09-03 00:00:00,17:26:00,Credit card,899.64,4761904762,44982.0,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25564.0,536844.0,3/13/2019,19:52:00,Credit card,511.28,4761904762,25564.0,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22588.0,474348.0,2019-09-03 00:00:00,14:57:00,Ewallet,451.76,4761904762,22588.0,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,327915.0,6886215.0,2019-10-03 00:00:00,18:44:00,Credit card,655.83,4761904762,327915.0,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,80625.0,1693125.0,1/27/2019,13:26:00,Cash,161.25,4761904762,80625.0,9.0
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,142785.0,2998485.0,2019-08-01 00:00:00,16:17:00,Credit card,285.57,4761904762,142785.0,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27416.0,575736.0,2019-08-01 00:00:00,15:57:00,Ewallet,548.32,4761904762,27416.0,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40626.0,853146.0,2019-08-02 00:00:00,11:15:00,Ewallet,812.52,4761904762,40626.0,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13867.0,291207.0,1/25/2019,13:18:00,Cash,277.34,4761904762,13867.0,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27639.0,580419.0,2019-06-03 00:00:00,20:34:00,Cash,552.78,4761904762,27639.0,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6968.0,146328.0,2019-10-02 00:00:00,18:36:00,Cash,139.36,4761904762,6968.0,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26235.0,550935.0,2/17/2019,14:40:00,Credit card,524.7,4761904762,26235.0,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2019-08-03 00:00:00,16:43:00,Ewallet,487.8,4761904762,24.39,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13533.0,284193.0,2/18/2019,19:39:00,Cash,270.66,4761904762,13533.0,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,65775.0,1381275.0,1/18/2019,20:59:00,Credit card,131.55,4761904762,65775.0,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10326.0,216846.0,2/18/2019,15:39:00,Cash,206.52,4761904762,10326.0,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25955.0,545055.0,2/16/2019,12:21:00,Cash,519.1,4761904762,25955.0,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,3/16/2019,19:25:00,Ewallet,580.0,4761904762,29.0,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,1/23/2019,13:00:00,Credit card,898.0,4761904762,44.9,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,1/25/2019,13:48:00,Cash,905.0,4761904762,45.25,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2019-05-02 00:00:00,19:57:00,Cash,686.0,4761904762,34.3,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,15205.0,319305.0,2/22/2019,10:36:00,Credit card,30.41,4761904762,15205.0,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23385.0,491085.0,1/21/2019,16:37:00,Ewallet,467.7,4761904762,23385.0,8.0
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13878.0,291438.0,2019-08-03 00:00:00,17:11:00,Credit card,277.56,4761904762,13878.0,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories,30.14,10,15.07,316.47,2019-10-02 00:00:00,12:28:00,Ewallet,301.4,4761904762,15.07,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty,66.14,4,13228.0,277788.0,3/19/2019,12:46:00,Credit card,264.56,4761904762,13228.0,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle,71.86,8,28744.0,603624.0,2019-06-03 00:00:00,15:07:00,Credit card,574.88,4761904762,28744.0,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty,32.46,8,12984.0,272664.0,3/27/2019,13:48:00,Credit card,259.68,4761904762,12984.0,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories,91.54,4,18308.0,384468.0,3/23/2019,19:20:00,Credit card,366.16,4761904762,18308.0,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel,34.56,7,12096.0,254016.0,2019-11-03 00:00:00,16:07:00,Credit card,241.92,4761904762,12096.0,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories,83.24,9,37458.0,786618.0,1/29/2019,11:56:00,Credit card,749.16,4761904762,37458.0,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4944.0,103824.0,2019-07-02 00:00:00,18:23:00,Ewallet,98.88,4761904762,4944.0,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel,80.97,8,32388.0,680148.0,1/28/2019,13:05:00,Cash,647.76,4761904762,32388.0,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages,92.29,5,230725.0,4845225.0,2/20/2019,15:55:00,Credit card,461.45,4761904762,230725.0,9.0
279-74-2924,B,Mandalay,Member,Male,Electronic accessories,72.17,1,36085.0,757785.0,2019-04-01 00:00:00,19:40:00,Cash,72.17,4761904762,36085.0,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle,50.28,5,12.57,263.97,2019-07-03 00:00:00,13:58:00,Ewallet,251.4,4761904762,12.57,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty,97.22,9,43749.0,918729.0,3/30/2019,14:43:00,Ewallet,874.98,4761904762,43749.0,6.0
423-57-2993,B,Mandalay,Normal,Male,Sports and travel,93.39,6,28017.0,588357.0,3/27/2019,19:18:00,Ewallet,560.34,4761904762,28017.0,10.0
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages,43.18,8,17272.0,362712.0,1/19/2019,19:39:00,Credit card,345.44,4761904762,17272.0,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel,63.69,1,31845.0,668745.0,2/25/2019,16:21:00,Cash,63.69,4761904762,31845.0,6.0
101-17-6199,A,Yangon,Normal,Male,Food and beverages,45.79,7,160265.0,3365565.0,3/13/2019,19:44:00,Credit card,320.53,4761904762,160265.0,7.0
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel,76.4,2,7.64,160.44,1/30/2019,19:42:00,Ewallet,152.8,4761904762,7.64,6.5
